,date,pr,rmax,rmin,srad,tmin,tmax,tavg,gdd,cgdd,plant,year,location
0,2023-01-01,0.0,100.0,100.0,56.2,-2.25,-1.0499999999999545,-1.6499999999999773,0.0,0.0,Winter wheat,2023,Othello
1,2023-01-02,0.0,91.30000000000001,90.30000000000001,54.0,-2.0499999999999545,-0.25,-1.1499999999999773,0.0,0.0,Winter wheat,2023,Othello
2,2023-01-03,0.30000000000000004,100.0,85.9,30.1,-4.0499999999999545,0.25,-1.8999999999999773,0.0,0.0,Winter wheat,2023,Othello
3,2023-01-04,0.4,97.9,72.4,54.400000000000006,-2.9499999999999886,2.75,-0.09999999999999432,0.0,0.0,Winter wheat,2023,Othello
4,2023-01-05,0.0,100.0,70.60000000000001,36.7,-1.849999999999966,5.850000000000023,2.0000000000000284,2.0000000000000284,2.0000000000000284,Winter wheat,2023,Othello
5,2023-01-06,0.9,100.0,77.7,58.5,-2.75,5.150000000000034,1.200000000000017,1.200000000000017,3.2000000000000455,Winter wheat,2023,Othello
6,2023-01-07,1.8,100.0,84.5,32.300000000000004,0.6500000000000341,5.350000000000023,3.0000000000000284,3.0000000000000284,6.200000000000074,Winter wheat,2023,Othello
7,2023-01-08,1.7000000000000002,100.0,87.5,39.800000000000004,0.5500000000000114,5.650000000000034,3.1000000000000227,3.1000000000000227,9.300000000000097,Winter wheat,2023,Othello
8,2023-01-09,1.4000000000000001,100.0,89.2,44.1,-1.0499999999999545,4.4500000000000455,1.7000000000000455,1.7000000000000455,11.000000000000142,Winter wheat,2023,Othello
9,2023-01-10,0.0,100.0,71.4,62.7,-1.6499999999999773,6.150000000000034,2.2500000000000284,2.2500000000000284,13.25000000000017,Winter wheat,2023,Othello
10,2023-01-11,3.9000000000000004,100.0,83.7,37.6,0.05000000000001137,5.850000000000023,2.950000000000017,2.950000000000017,16.200000000000188,Winter wheat,2023,Othello
11,2023-01-12,4.3,100.0,98.2,22.900000000000002,2.0500000000000114,6.050000000000011,4.050000000000011,4.050000000000011,20.2500000000002,Winter wheat,2023,Othello
12,2023-01-13,0.30000000000000004,100.0,100.0,34.2,1.5500000000000114,7.550000000000011,4.550000000000011,4.550000000000011,24.80000000000021,Winter wheat,2023,Othello
13,2023-01-14,0.6000000000000001,100.0,89.7,54.7,1.3500000000000227,9.350000000000023,5.350000000000023,5.350000000000023,30.150000000000233,Winter wheat,2023,Othello
14,2023-01-15,0.0,100.0,84.60000000000001,48.2,0.9500000000000455,7.75,4.350000000000023,4.350000000000023,34.500000000000256,Winter wheat,2023,Othello
15,2023-01-16,0.0,100.0,71.8,59.800000000000004,-1.6499999999999773,7.9500000000000455,3.150000000000034,3.150000000000034,37.65000000000029,Winter wheat,2023,Othello
16,2023-01-17,0.0,100.0,79.2,66.0,-2.1499999999999773,3.75,0.8000000000000114,0.8000000000000114,38.4500000000003,Winter wheat,2023,Othello
17,2023-01-18,1.1,100.0,77.7,37.9,-1.4499999999999886,5.550000000000011,2.0500000000000114,2.0500000000000114,40.50000000000031,Winter wheat,2023,Othello
18,2023-01-19,0.0,100.0,53.900000000000006,68.8,-3.0499999999999545,8.050000000000011,2.5000000000000284,2.5000000000000284,43.00000000000034,Winter wheat,2023,Othello
19,2023-01-20,0.0,95.2,56.1,68.5,-4.349999999999966,4.350000000000023,2.842170943040401e-14,2.842170943040401e-14,43.00000000000037,Winter wheat,2023,Othello
20,2023-01-21,0.6000000000000001,100.0,68.9,54.900000000000006,-5.0499999999999545,2.5500000000000114,-1.2499999999999716,0.0,43.00000000000037,Winter wheat,2023,Othello
21,2023-01-22,0.0,100.0,65.5,50.300000000000004,-4.25,4.850000000000023,0.30000000000001137,0.30000000000001137,43.30000000000038,Winter wheat,2023,Othello
22,2023-01-23,0.0,100.0,59.5,65.3,-4.5499999999999545,4.850000000000023,0.1500000000000341,0.1500000000000341,43.450000000000415,Winter wheat,2023,Othello
23,2023-01-24,0.0,100.0,69.2,68.7,-5.25,3.0500000000000114,-1.0999999999999943,0.0,43.450000000000415,Winter wheat,2023,Othello
24,2023-01-25,0.0,100.0,64.3,70.3,-3.4499999999999886,5.550000000000011,1.0500000000000114,1.0500000000000114,44.500000000000426,Winter wheat,2023,Othello
25,2023-01-26,0.6000000000000001,100.0,68.3,72.10000000000001,-2.5499999999999545,5.9500000000000455,1.7000000000000455,1.7000000000000455,46.20000000000047,Winter wheat,2023,Othello
26,2023-01-27,0.0,100.0,50.300000000000004,68.2,0.9500000000000455,12.450000000000045,6.7000000000000455,6.7000000000000455,52.90000000000052,Winter wheat,2023,Othello
27,2023-01-28,0.0,100.0,58.2,21.3,-7.25,4.650000000000034,-1.299999999999983,0.0,52.90000000000052,Winter wheat,2023,Othello
28,2023-01-29,0.0,66.10000000000001,29.900000000000002,84.5,-11.949999999999989,-0.6499999999999773,-6.299999999999983,0.0,52.90000000000052,Winter wheat,2023,Othello
29,2023-01-30,0.0,52.7,22.3,81.4,-12.549999999999955,-0.75,-6.649999999999977,0.0,52.90000000000052,Winter wheat,2023,Othello
30,2023-01-31,0.6000000000000001,62.7,49.5,49.800000000000004,-7.149999999999977,-2.6499999999999773,-4.899999999999977,0.0,52.90000000000052,Winter wheat,2023,Othello
31,2023-02-01,0.0,97.10000000000001,55.900000000000006,85.0,-7.849999999999966,0.4500000000000455,-3.69999999999996,0.0,52.90000000000052,Winter wheat,2023,Othello
32,2023-02-02,0.0,100.0,44.7,97.4,-8.049999999999955,4.75,-1.6499999999999773,0.0,52.90000000000052,Winter wheat,2023,Othello
33,2023-02-03,0.0,100.0,58.900000000000006,72.9,-5.5499999999999545,4.350000000000023,-0.5999999999999659,0.0,52.90000000000052,Winter wheat,2023,Othello
34,2023-02-04,2.5,100.0,53.6,56.400000000000006,0.4500000000000455,10.25,5.350000000000023,5.350000000000023,58.25000000000054,Winter wheat,2023,Othello
35,2023-02-05,3.6,100.0,96.2,43.400000000000006,-0.5499999999999545,5.150000000000034,2.30000000000004,2.30000000000004,60.55000000000058,Winter wheat,2023,Othello
36,2023-02-06,0.0,100.0,60.5,54.7,0.5500000000000114,9.25,4.900000000000006,4.900000000000006,65.45000000000059,Winter wheat,2023,Othello
37,2023-02-07,0.0,100.0,72.5,55.5,-0.8499999999999659,7.9500000000000455,3.55000000000004,3.55000000000004,69.00000000000063,Winter wheat,2023,Othello
38,2023-02-08,0.0,97.5,43.800000000000004,105.80000000000001,-2.75,9.150000000000034,3.200000000000017,3.200000000000017,72.20000000000064,Winter wheat,2023,Othello
39,2023-02-09,0.0,94.0,40.1,83.7,-3.349999999999966,9.150000000000034,2.900000000000034,2.900000000000034,75.10000000000068,Winter wheat,2023,Othello
40,2023-02-10,0.0,100.0,57.900000000000006,83.60000000000001,-3.9499999999999886,6.850000000000023,1.450000000000017,1.450000000000017,76.5500000000007,Winter wheat,2023,Othello
41,2023-02-11,0.0,100.0,49.6,112.4,-4.849999999999966,8.75,1.950000000000017,1.950000000000017,78.50000000000071,Winter wheat,2023,Othello
42,2023-02-12,0.0,100.0,42.6,109.60000000000001,-3.6499999999999773,9.850000000000023,3.1000000000000227,3.1000000000000227,81.60000000000073,Winter wheat,2023,Othello
43,2023-02-13,0.0,91.0,44.800000000000004,53.800000000000004,-1.349999999999966,9.350000000000023,4.000000000000028,4.000000000000028,85.60000000000076,Winter wheat,2023,Othello
44,2023-02-14,0.0,94.4,38.2,92.60000000000001,-4.75,8.350000000000023,1.8000000000000114,1.8000000000000114,87.40000000000077,Winter wheat,2023,Othello
45,2023-02-15,0.0,96.60000000000001,38.400000000000006,121.10000000000001,-6.25,6.9500000000000455,0.35000000000002274,0.35000000000002274,87.7500000000008,Winter wheat,2023,Othello
46,2023-02-16,0.0,82.9,34.7,118.10000000000001,-4.949999999999989,7.4500000000000455,1.2500000000000284,1.2500000000000284,89.00000000000082,Winter wheat,2023,Othello
47,2023-02-17,0.0,63.7,30.900000000000002,55.6,-0.25,10.150000000000034,4.950000000000017,4.950000000000017,93.95000000000084,Winter wheat,2023,Othello
48,2023-02-18,0.0,92.10000000000001,36.300000000000004,76.9,-1.4499999999999886,12.25,5.400000000000006,5.400000000000006,99.35000000000085,Winter wheat,2023,Othello
49,2023-02-19,0.0,100.0,41.800000000000004,0.0,-1.0499999999999545,12.25,5.600000000000023,5.600000000000023,104.95000000000087,Winter wheat,2023,Othello
50,2023-02-20,0.0,92.10000000000001,50.2,47.7,2.9500000000000455,12.550000000000011,7.750000000000028,7.750000000000028,112.7000000000009,Winter wheat,2023,Othello
51,2023-02-21,0.0,100.0,47.2,49.2,-5.349999999999966,8.75,1.700000000000017,1.700000000000017,114.40000000000092,Winter wheat,2023,Othello
52,2023-02-22,0.0,100.0,79.4,29.200000000000003,-10.949999999999989,-4.0499999999999545,-7.499999999999972,0.0,114.40000000000092,Winter wheat,2023,Othello
53,2023-02-23,0.0,52.7,29.700000000000003,112.2,-13.349999999999966,-5.949999999999989,-9.649999999999977,0.0,114.40000000000092,Winter wheat,2023,Othello
54,2023-02-24,0.0,18.900000000000002,7.1000000000000005,127.60000000000001,2.8500000000000227,11.75,7.300000000000011,7.300000000000011,121.70000000000093,Winter wheat,2023,Othello
55,2023-02-25,0.0,29.5,11.9,138.5,1.650000000000034,12.150000000000034,6.900000000000034,6.900000000000034,128.60000000000096,Winter wheat,2023,Othello
56,2023-02-26,0.0,72.7,30.3,107.0,-4.349999999999966,7.9500000000000455,1.8000000000000398,1.8000000000000398,130.400000000001,Winter wheat,2023,Othello
57,2023-02-27,0.0,89.4,43.0,109.2,-4.949999999999989,5.75,0.4000000000000057,0.4000000000000057,130.800000000001,Winter wheat,2023,Othello
58,2023-02-28,0.0,47.0,28.1,138.4,4.550000000000011,11.850000000000023,8.200000000000017,8.200000000000017,139.00000000000102,Winter wheat,2023,Othello
59,2023-03-01,1.6,52.1,19.200000000000003,164.9,1.0500000000000114,11.850000000000023,6.450000000000017,6.450000000000017,145.45000000000104,Winter wheat,2023,Othello
60,2023-03-02,0.0,84.0,29.1,87.4,-2.25,11.150000000000034,4.450000000000017,4.450000000000017,149.90000000000106,Winter wheat,2023,Othello
61,2023-03-03,0.0,85.2,32.5,150.70000000000002,-3.0499999999999545,9.150000000000034,3.05000000000004,3.05000000000004,152.9500000000011,Winter wheat,2023,Othello
62,2023-03-04,0.0,79.30000000000001,30.3,101.30000000000001,-1.849999999999966,10.150000000000034,4.150000000000034,4.150000000000034,157.10000000000113,Winter wheat,2023,Othello
63,2023-03-05,1.5,79.0,32.5,177.9,-1.849999999999966,9.25,3.700000000000017,3.700000000000017,160.80000000000115,Winter wheat,2023,Othello
64,2023-03-06,0.30000000000000004,90.80000000000001,45.5,126.0,-2.4499999999999886,6.550000000000011,2.0500000000000114,2.0500000000000114,162.85000000000116,Winter wheat,2023,Othello
65,2023-03-07,0.0,87.9,30.6,173.60000000000002,-3.349999999999966,10.050000000000011,3.3500000000000227,3.3500000000000227,166.20000000000118,Winter wheat,2023,Othello
66,2023-03-08,0.4,84.7,29.6,121.9,-3.6499999999999773,9.550000000000011,2.950000000000017,2.950000000000017,169.1500000000012,Winter wheat,2023,Othello
67,2023-03-09,4.5,97.4,36.2,158.9,-3.5499999999999545,9.350000000000023,2.900000000000034,2.900000000000034,172.05000000000123,Winter wheat,2023,Othello
68,2023-03-10,1.9000000000000001,100.0,57.6,53.0,-2.0499999999999545,5.9500000000000455,1.9500000000000455,1.9500000000000455,174.00000000000128,Winter wheat,2023,Othello
69,2023-03-11,0.0,100.0,37.300000000000004,148.20000000000002,-2.4499999999999886,10.850000000000023,4.200000000000017,4.200000000000017,178.2000000000013,Winter wheat,2023,Othello
70,2023-03-12,1.2000000000000002,100.0,44.5,100.7,-1.0499999999999545,10.150000000000034,4.55000000000004,4.55000000000004,182.75000000000134,Winter wheat,2023,Othello
71,2023-03-13,2.7,100.0,42.800000000000004,103.60000000000001,-0.75,14.150000000000034,6.700000000000017,6.700000000000017,189.45000000000135,Winter wheat,2023,Othello
72,2023-03-14,0.0,85.30000000000001,36.1,197.3,-2.0499999999999545,8.950000000000045,3.4500000000000455,3.4500000000000455,192.9000000000014,Winter wheat,2023,Othello
73,2023-03-15,0.0,85.80000000000001,27.0,200.0,-2.9499999999999886,11.650000000000034,4.350000000000023,4.350000000000023,197.25000000000142,Winter wheat,2023,Othello
74,2023-03-16,0.0,82.2,23.8,200.8,-3.0499999999999545,12.350000000000023,4.650000000000034,4.650000000000034,201.90000000000146,Winter wheat,2023,Othello
75,2023-03-17,0.0,77.9,23.200000000000003,214.8,-1.6499999999999773,13.350000000000023,5.850000000000023,5.850000000000023,207.75000000000148,Winter wheat,2023,Othello
76,2023-03-18,0.0,78.5,22.0,214.60000000000002,-0.3499999999999659,15.550000000000011,7.600000000000023,7.600000000000023,215.3500000000015,Winter wheat,2023,Othello
77,2023-03-19,0.7000000000000001,74.0,22.5,205.4,0.9500000000000455,15.75,8.350000000000023,8.350000000000023,223.70000000000152,Winter wheat,2023,Othello
78,2023-03-20,2.0,82.0,59.0,118.0,4.550000000000011,8.850000000000023,6.700000000000017,6.700000000000017,230.40000000000154,Winter wheat,2023,Othello
79,2023-03-21,0.0,100.0,39.2,201.8,1.3500000000000227,14.350000000000023,7.850000000000023,7.850000000000023,238.25000000000156,Winter wheat,2023,Othello
