date,pr,rmax,rmin,srad,tmin,tmax,tavg,gdd,cgdd,plant,year,location,
1/1/2023,0,100,100,56.2,-2.25,-1.05,-1.65,0,,Winter wheat,2023,Othello,
1/2/2023,0,91.3,90.3,54,-2.05,-0.25,-1.15,0,,Winter wheat,2023,Othello,
1/3/2023,0.3,100,85.9,30.1,-4.05,0.25,-1.9,0,,Winter wheat,2023,Othello,
1/4/2023,0.4,97.9,72.4,54.4,-2.95,2.75,-0.1,0,,Winter wheat,2023,Othello,
1/5/2023,0,100,70.6,36.7,-1.85,5.85,2,2,,Winter wheat,2023,Othello,
1/6/2023,0.9,100,77.7,58.5,-2.75,5.15,1.2,1.2,,Winter wheat,2023,Othello,
1/7/2023,1.8,100,84.5,32.3,0.65,5.35,3,3,,Winter wheat,2023,Othello,
1/8/2023,1.7,100,87.5,39.8,0.55,5.65,3.1,3.1,,Winter wheat,2023,Othello,
1/9/2023,1.4,100,89.2,44.1,-1.05,4.45,1.7,1.7,,Winter wheat,2023,Othello,
1/10/2023,0,100,71.4,62.7,-1.65,6.15,2.25,2.25,,Winter wheat,2023,Othello,
1/11/2023,3.9,100,83.7,37.6,0.05,5.85,2.95,2.95,,Winter wheat,2023,Othello,
1/12/2023,4.3,100,98.2,22.9,2.05,6.05,4.05,4.05,,Winter wheat,2023,Othello,
1/13/2023,0.3,100,100,34.2,1.55,7.55,4.55,4.55,,Winter wheat,2023,Othello,
1/14/2023,0.6,100,89.7,54.7,1.35,9.35,5.35,5.35,,Winter wheat,2023,Othello,
1/15/2023,0,100,84.6,48.2,0.95,7.75,4.35,4.35,,Winter wheat,2023,Othello,
1/16/2023,0,100,71.8,59.8,-1.65,7.95,3.15,3.15,,Winter wheat,2023,Othello,
1/17/2023,0,100,79.2,66,-2.15,3.75,0.8,0.8,,Winter wheat,2023,Othello,
1/18/2023,1.1,100,77.7,37.9,-1.45,5.55,2.05,2.05,,Winter wheat,2023,Othello,
1/19/2023,0,100,53.9,68.8,-3.05,8.05,2.5,2.5,,Winter wheat,2023,Othello,
1/20/2023,0,95.2,56.1,68.5,-4.35,4.35,2.84E-14,2.84E-14,,Winter wheat,2023,Othello,
1/21/2023,0.6,100,68.9,54.9,-5.05,2.55,-1.25,0,,Winter wheat,2023,Othello,
1/22/2023,0,100,65.5,50.3,-4.25,4.85,0.3,0.3,,Winter wheat,2023,Othello,
1/23/2023,0,100,59.5,65.3,-4.55,4.85,0.15,0.15,,Winter wheat,2023,Othello,
1/24/2023,0,100,69.2,68.7,-5.25,3.05,-1.1,0,,Winter wheat,2023,Othello,
1/25/2023,0,100,64.3,70.3,-3.45,5.55,1.05,1.05,,Winter wheat,2023,Othello,
