Gregorian day,R2,MSE,MAE,Solar,Precipitation,AirTemp,Vapor_Pressure,AtmPressure,RelHumidity,WindSpeed,WindDirection
122,0.254276872,0.056145705,0.203799158,844.8333333,0,12.4,0.646666667,97.56666667,0.451,3.763333333,292.6916667
123,0.43882823,0.042250782,0.183450773,835.0833333,0,14.6,0.729166667,97.19166667,0.44175,2.493333333,77.13333333
124,0.532799482,0.035175659,0.174786836,824.3333333,0,16.05833333,0.83,97.26666667,0.458166667,2.066666667,270.4083333
125,0.570232511,0.032357316,0.165775567,269.1666667,0,16.1,1.04,95.725,0.572666667,3.529166667,120.0333333
126,0.578160763,0.031760391,0.15703851,,,,,,,,
127,0.609219313,0.029421985,0.14742665,,,,,,,,
128,0.644496143,0.026765984,0.137985349,,,,,,,,
129,0.662478447,0.025412094,0.130729154,,,,,,,,
130,0.660152972,0.025587177,0.131005734,,,,,,,,
131,0.642322063,0.026929673,0.135182559,,,,,,,,
132,0.615516126,0.028947899,0.141381577,,,,,,,,
133,0.581130445,0.031536806,0.147840112,,,,,,,,
134,0.555381835,0.033475425,0.153272033,,,,,,,,
135,0.552940488,0.033659235,0.154228181,848.0833333,0,21.70833333,0.988333333,97.55833333,0.3815,2.2175,45.54166667
136,0.568593144,0.032480743,0.150614396,836.0833333,0,22.29166667,1.1625,97.38333333,0.433083333,2.823333333,304.6416667
137,0.600759327,0.030058941,0.144306421,869.5,0,24.04166667,1.1725,96.60833333,0.39325,5.356666667,300.7666667
138,0.636144221,0.027394805,0.138477355,895.75,0,15.76666667,0.645,97.25,0.359833333,5.283333333,153.9333333
139,0.668532729,0.024956265,0.131938189,874.0833333,0,15.475,0.795,97.125,0.452916667,3.769166667,299.5833333
140,0.687014461,0.023564767,0.129308343,840.8333333,0,15.00833333,0.755833333,97.68333333,0.445166667,3.275,309.4
141,0.708073556,0.021979224,0.123859271,842.6666667,0,17.69166667,0.798333333,97.65833333,0.39625,2.936666667,337.9166667
142,0.694031239,0.023036476,0.11653538,377.4166667,0,14,0.990833333,97.33333333,0.621583333,4.124166667,297.6916667
143,0.679390371,0.02413879,0.122817278,533.3333333,0.05525,10.74166667,0.785833333,96.575,0.614916667,4.515833333,258.6583333
144,0.676294804,0.024371851,0.126232415,874.6666667,0,15.875,1.1325,97.4,0.631916667,3.9975,279.1
145,0.736926854,0.019806851,0.113958851,810.4166667,0,17.475,1.0675,96.625,0.53775,2.720833333,307.8583333
146,0.804865479,0.014691733,0.094388559,810.0833333,0,16.23333333,0.800833333,96.6,0.43525,5.250833333,308.6166667
147,0.855208397,0.010901398,0.079598047,761.75,0,15.81666667,0.97,97.50833333,0.540166667,3.31,299.525
148,0.877183318,0.0092469,0.077334069,711.3333333,0,20.05833333,1.1975,97.63333333,0.510833333,1.244166667,312.7916667
149,0.859925807,0.010546225,0.080926575,663.75,0,21.425,1.316666667,97.1,0.51825,2.974166667,320.7666667
150,0.851319194,0.011194217,0.082619466,524.8333333,0,15.58333333,0.840833333,97.9,0.475416667,2.8575,281.3416667
151,0.815600216,0.013883512,0.091354832,899,0,15.59166667,0.806666667,98.225,0.45625,2.175,286.8666667
152,0.838288307,0.012175317,0.086856455,864.5833333,0,18.38333333,0.920833333,97.76666667,0.437083333,1.424166667,242.6
153,0.830611825,0.012753283,0.094930574,621.3333333,0,19.05833333,1.011666667,96.83333333,0.46025,1.254166667,213.8916667
154,0.828838766,0.012886776,0.099312767,440.4166667,0,19.25,1.210833333,96.55,0.542833333,4.966666667,276.325
155,0.820420325,0.013520604,0.100742102,665.5,0,17.51666667,1.023333333,96.19166667,0.514416667,5.4575,181.0833333
156,0.810159743,0.014293125,0.102750443,303.5833333,0,16.79166667,1.2425,96.9,0.650083333,5.335,293.475
157,0.799597025,0.015088399,0.105902359,722.8333333,0,17.88333333,0.8525,97.8,0.416833333,2.34,308.2666667
158,0.791938424,0.015665015,0.107224599,730.75,0,23.28333333,1.101666667,97.40833333,0.389,1.279166667,26.73333333
159,0.775274515,0.016919646,0.108713366,737,0,24.625,1.003333333,97.19166667,0.325583333,2.615833333,60.59166667
160,0.760076463,0.018063908,0.111814931,750.75,0,26.2,1.11,97,0.328333333,2.030833333,53.73333333
161,0.742022276,0.019423218,0.11276456,223.9166667,0,22.34166667,1.564166667,97.00833333,0.58275,1.513333333,258
162,0.720080495,0.021075215,0.112070754,745.25,0,24.63333333,1.341666667,97.33333333,0.4365,3.461666667,298.0083333
163,0.691699505,0.023212029,0.115864635,750.6666667,0,26.15833333,1.2775,96.925,0.379166667,4.9075,300.1166667
164,0.621130824,0.028525168,0.126839474,766,0,18.99166667,0.8925,97.625,0.40925,1.823333333,316.5666667
165,0.326433539,0.05071301,0.175662726,752.8333333,0,23.525,1.054166667,97.3,0.36775,1.631666667,93.16666667
166,0.208383858,0.059601001,0.187448174,700.5,0,19.95,0.880833333,97.5,0.3785,4.568333333,339
167,0.152261734,0.063826457,0.188143849,465.6666667,0.002833333,16.275,0.813333333,97.15833333,0.440416667,4.915833333,322.475
