Gregorian day,R2,MSE,MAE,pr,rmax,rmin,srad,tmin,tmax,ws,tavg,gdd,cgdd,ravg
122,0.254276872,0.056145705,0.203799158,0,83.9,23.4,338.4,0.05,17.25,2.8,8.65,8.65,1116.25,53.65
123,0.43882823,0.042250782,0.183450773,0,76.4,18.4,336,1.05,19.95,2,10.5,10.5,1126.75,47.4
124,0.532799482,0.035175659,0.174786836,0,90.5,23.4,333.1,2.85,21.75,2.4,12.3,12.3,1139.05,56.95
125,0.570232511,0.032357316,0.165775567,0.9,71.7,39.2,159.6,10.15,18.65,3.7,14.4,14.4,1153.45,55.45
126,0.578160763,0.031760391,0.15703851,6.7,100,78.6,160.2,5.85,12.45,4.4,9.15,9.15,1162.6,89.3
127,0.609219313,0.029421985,0.14742665,0,97.4,36.7,267.2,3.95,18.05,6.2,11,11,1173.6,67.05
128,0.644496143,0.026765984,0.137985349,0,79.4,27,331.3,3.55,18.35,4.8,10.95,10.95,1184.55,53.2
129,0.662478447,0.025412094,0.130729154,0,76.3,20.4,331.5,3.75,21.65,1.8,12.7,12.7,1197.25,48.35
130,0.660152972,0.025587177,0.131005734,0,87.3,19.5,345,5.45,26.55,2.7,16,16,1213.25,53.4
131,0.642322063,0.026929673,0.135182559,0,81.1,20.5,344.5,10.05,29.85,1.3,19.95,19.95,1233.2,50.8
132,0.615516126,0.028947899,0.141381577,0,77.3,19.9,346.6,11.35,30.85,2,21.1,21.1,1254.3,48.6
133,0.581130445,0.031536806,0.147840112,0,72.8,18.5,350.4,11.45,30.85,2.7,21.15,21.15,1275.45,45.65
134,0.555381835,0.033475425,0.153272033,0,79,24.4,332,9.75,26.55,4,18.15,18.15,1293.6,51.7
135,0.552940488,0.033659235,0.154228181,0,77.1,21.9,350.2,8.95,26.75,2.3,17.85,17.85,1311.45,49.5
136,0.568593144,0.032480743,0.150614396,0,75.2,21.7,344.3,10.55,28.25,2.6,19.4,19.4,1330.85,48.45
137,0.600759327,0.030058941,0.144306421,0,84.6,23.9,340.7,9.45,27.75,5.2,18.6,18.6,1349.45,54.25
138,0.636144221,0.027394805,0.138477355,0,78.4,24.4,363.7,3.95,19.95,5.4,11.95,11.95,1361.4,51.4
139,0.668532729,0.024956265,0.131938189,0,77.3,23.1,312.5,3.85,20.35,3.5,12.1,12.1,1373.5,50.2
