Gregorian day,R2,MSE,MAE,pr,rmax,rmin,srad,tmin,tmax,ws,tavg,gdd,cgdd,ravg
122,0.387286127,0.046131399,0.189131916,0,83.9,23.4,338.4,0.05,17.25,2.8,8.65,8.65,1116.25,53.65
123,0.497326016,0.037846465,0.173891798,0,76.4,18.4,336,1.05,19.95,2,10.5,10.5,1126.75,47.4
124,0.491246045,0.038304228,0.168017641,0,90.5,23.4,333.1,2.85,21.75,2.4,12.3,12.3,1139.05,56.95
125,0.442379057,0.041983437,0.1655965,0.9,71.7,39.2,159.6,10.15,18.65,3.7,14.4,14.4,1153.45,55.45
126,0.418753147,0.043762241,0.164024219,6.7,100,78.6,160.2,5.85,12.45,4.4,9.15,9.15,1162.6,89.3
127,0.470359743,0.039876763,0.158118099,0,97.4,36.7,267.2,3.95,18.05,6.2,11,11,1173.6,67.05
128,0.555849612,0.03344021,0.149998188,0,79.4,27,331.3,3.55,18.35,4.8,10.95,10.95,1184.55,53.2
129,0.620676398,0.028559383,0.139905959,0,76.3,20.4,331.5,3.75,21.65,1.8,12.7,12.7,1197.25,48.35
130,0.643984437,0.026804512,0.131804317,0,87.3,19.5,345,5.45,26.55,2.7,16,16,1213.25,53.4
131,0.645877063,0.026662016,0.126651257,0,81.1,20.5,344.5,10.05,29.85,1.3,19.95,19.95,1233.2,50.8
132,0.642340004,0.026928321,0.122284137,0,77.3,19.9,346.6,11.35,30.85,2,21.1,21.1,1254.3,48.6
133,0.628913164,0.02793923,0.118219674,0,72.8,18.5,350.4,11.45,30.85,2.7,21.15,21.15,1275.45,45.65
134,0.619747937,0.028629284,0.118573688,0,79,24.4,332,9.75,26.55,4,18.15,18.15,1293.6,51.7
135,0.638478398,0.027219066,0.116408899,0,77.1,21.9,350.2,8.95,26.75,2.3,17.85,17.85,1311.45,49.5
136,0.658389032,0.025719985,0.123227313,0,75.2,21.7,344.3,10.55,28.25,2.6,19.4,19.4,1330.85,48.45
137,0.672754049,0.024638437,0.129906505,0,84.6,23.9,340.7,9.45,27.75,5.2,18.6,18.6,1349.45,54.25
138,0.670228004,0.024828628,0.136689886,0,78.4,24.4,363.7,3.95,19.95,5.4,11.95,11.95,1361.4,51.4
139,0.657328367,0.025799841,0.142536327,0,77.3,23.1,312.5,3.85,20.35,3.5,12.1,12.1,1373.5,50.2
140,0.611560285,0.029245734,0.150530785,0,73.3,24.1,313.8,5.25,20.45,3.6,12.85,12.85,1386.35,48.7
141,0.56852138,0.032486148,0.154320046,0,77.9,21.6,364,5.15,22.85,2.9,14,14,1400.35,49.75
142,0.509343386,0.036941674,0.153703526,2.5,84.7,39,189.3,5.95,17.05,3.7,11.5,11.5,1411.85,61.85
143,0.534402966,0.03505493,0.148669288,1.2,95.5,49.5,198.5,5.35,15.05,4.4,10.2,10.2,1422.05,72.5
144,0.601220846,0.030024191,0.135669231,0,96.4,32,361.7,5.55,21.55,2.7,13.55,13.55,1435.6,64.2
145,0.709697247,0.021856979,0.11207781,0,87.8,27.1,291.8,6.25,23.05,3.3,14.65,14.65,1450.25,57.45
146,0.784543157,0.016221805,0.099209398,0,87.1,30.5,292.2,5.25,20.15,4.9,12.7,12.7,1462.95,58.8
147,0.836512446,0.012309021,0.081987038,0,89,27.3,285.1,5.15,21.95,2.9,13.55,13.55,1476.5,58.15
148,0.85300076,0.011067616,0.079693809,0,90.3,26.2,341.3,7.95,25.95,1.1,16.95,16.95,1493.45,58.25
149,0.846886337,0.011527972,0.082745343,0,100,31.1,267,6.55,24.25,3.9,15.4,15.4,1508.85,65.55
150,0.828358293,0.012922955,0.089430206,0,90.3,27.1,273.3,3.05,19.95,5,11.5,11.5,1520.35,58.7
151,0.794517338,0.015470847,0.097169444,0,86.4,24.5,373.1,2.95,20.45,2.1,11.7,11.7,1532.05,55.45
152,0.824867964,0.013185742,0.096762411,0,78.8,21.1,370.8,5.85,24.05,1,14.95,14.95,1547,49.95
153,0.787708938,0.015983453,0.117943183,0,72.1,24.3,245.8,10.35,25.65,2.6,18,18,1565,48.2
154,0.762722373,0.017864699,0.125542089,2,82.2,42.6,138.6,11.55,21.25,4.1,16.4,16.4,1581.4,62.4
155,0.741242766,0.019481905,0.129832789,0,85.8,40.9,263.3,9.95,20.85,6.5,15.4,15.4,1596.8,63.35
156,0.709137261,0.021899138,0.134656638,0,100,34.1,183.3,6.95,23.45,5.4,15.2,15.2,1612,67.05
157,0.67106241,0.024765804,0.139681369,0,95.7,28.1,370.5,6.75,24.55,2.3,15.65,15.65,1627.65,61.9
158,0.644254327,0.026784193,0.138206393,0,84,18,369.4,8.35,30.25,0.9,19.3,19.3,1646.95,51
159,0.620075464,0.028604627,0.145886272,0,78.3,20.5,367.5,11.05,30.25,2.3,20.65,20.65,1667.6,49.4
160,0.589493334,0.030907163,0.150125995,0,79.2,18.6,359.3,10.95,31.75,2.3,21.35,21.35,1688.95,48.9
161,0.514615953,0.036544703,0.170167118,0,78.8,27.3,294.9,12.75,28.25,1.8,20.5,20.5,1709.45,53.05
162,0.416466117,0.043934427,0.186665446,0,78.2,23.3,364.6,12.55,30.15,2.9,21.35,21.35,1730.8,50.75
163,0.324625373,0.050849147,0.198868766,0,87.6,17,355.6,6.95,30.15,4.3,18.55,18.55,1749.35,52.3
164,0.223417759,0.058469094,0.208758146,0,75,17.8,379.1,6.55,26.25,2.4,16.4,16.4,1765.75,46.4
165,0.097912192,0.067918442,0.220106602,0,69,13.9,353,8.35,30.05,1.3,19.2,19.2,1784.95,41.45
166,0.041413069,0.072172277,0.2223728,0,64.8,24.2,349.4,10.05,23.45,4.3,16.75,16.75,1801.7,44.5
167,-0.095634937,0.082490668,0.242537379,0,85.4,26.8,191.1,4.25,20.45,5.8,12.35,12.35,1814.05,56.1
